id,name,title,gender,role
AA005,Andrea Aglić Aljinović,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
TA019,Tomislav Antić,,M,povjera predavanja
MM408,Martina Antonić,izv. prof. dr. sc.,F,izvanredni profesor
AA042,"Ana Anušić,",doc. mag. math.,F,docent
AB168,Ana Babić,izv. prof. dr. sc.,F,izvanredni profesor
JB114,Jurica Babić,izv. prof. dr. sc.,M,izvanredni profesor
MB105,Miroslav Bača,prof. dr. sc.,M,redoviti profesor
MB043,Marina Bagić Babac,izv. prof. dr. sc.,F,izvanredni profesor
IB074,Ivan Bahun,nasl. doc. dr. sc.,M,naslovni docent
ŽB012,Željko Ban,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
AB454,"Antonio Bandur,",univ. mag. ing. el. techn. inf.,M,asistent
MB045,Marko Banek,doc. dr. sc.,M,docent
AM182,Anita Banjac,doc. dr. sc.,F,docent
MB038,Mato Baotić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
BB195,"Bojana Barać,",mag. ing. el. techn. inf.,F,asistent
AB385,"Ana Barić,",mag. ing. comp.,F,asistent
BB172,Barbara Barun,doc. dr. sc.,F,docent
DB029,Danko Basch,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
HB040,Hrvoje Bašić,dr. sc.,M,povjera predavanja
TB131,Tomislav Baškarad,dr. sc.,M,asistent
MB747,"Matko Batoš,",mag.ing.el.,M,asistent
TB170,"Tessa Bauman,",mag. math.,F,asistent
AB020,Alen Bažant,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
SB217,Stjepan Begušić,doc. dr. sc.,M,docent
MB498,Mateo Beus,doc. dr. sc.,M,docent
PB044,Petra Bevandić,dr. sc.,F,povjera predavanja
BB144,Bart Bijnens,prof. dr. sc.,M,redoviti profesor
VB020,Vedran Bilas,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
EB002,Ervina Bilić,prof. dr. sc.,unknown,redoviti profesor u trajnom izboru
SB025,Stjepan Bogdan,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
FB036,"Filip Bogdanović,",mag. ing. el. techn. inf.,M,asistent
NB020,Nikola Bogunović,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
DB166,Dario Bojanjac,izv. prof. dr. sc.,M,izvanredni profesor
DB031,Davor Bonefačić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
MB113,Marko Bosiljevac,izv. prof. dr. sc.,M,izvanredni profesor
