name,institution
Agronomski fakultet,Sveuciliste u Zagrebu
Prirodoslovno-matematicki fakultet,Sveuciliste u Zagrebu
Fakultet elektrotehnike i racunarstva,Sveuciliste u Zagrebu
Geodetski fakultet,Sveuciliste u Zagrebu
Rudarsko-geolosko-naftni fakultet,Sveuciliste u Zagrebu
Gradevinski fakultet,Sveuciliste u Zagrebu
Metalurski fakultet,Sveuciliste u Zagrebu
Prehrambeno-biotehnoloski fakultet,Sveuciliste u Zagrebu
Prirodoslovno-matematicki fakultet,Sveuciliste u Splitu
"Fakultet elektrotehnike, strojarstva i brodogradnje",Sveuciliste u Splitu
Kemijsko-tehnoloski fakultet,Sveuciliste u Splitu
"Fakultet elektrotehnike, racunarstva i informacijskih tehnologija",Sveuciliste Josipa Jurja Strossmayera u Osijeku
Fakultet agrobiotehnickih znanosti,Sveuciliste Josipa Jurja Strossmayera u Osijeku
Odjel za matematiku,Sveuciliste Josipa Jurja Strossmayera u Osijeku
Odjel za fiziku,Sveuciliste Josipa Jurja Strossmayera u Osijeku
Odjel za kemiju,Sveuciliste Josipa Jurja Strossmayera u Osijeku
Tehnicki fakultet,Sveuciliste u Rijeci
Fakultet biotehnologije i razvoja lijekova,Sveuciliste u Rijeci
Fakultet informatike i digitalnih tehnologija,Sveuciliste u Rijeci
Tehnicko veleuciliste u Zagrebu,Veleuciliste u Zagrebu
